,0,1,accuracy,macro avg,weighted avg
precision,0.3928830231733453,0.8663309645944123,0.6275601449388053,0.6296069938838788,0.7411528986243912
recall,0.7494044643119725,0.5837658425208503,0.6275601449388053,0.6665851534164113,0.6275601449388053
f1-score,0.5155064635552589,0.6975181559835807,0.6275601449388053,0.6065123097694198,0.6493948679749323
support,34003.0,94603.0,0.6275601449388053,128606.0,128606.0
